DOW,2015-10-16,47.77,47.799999,47.169998,47.619999,5690500,46.34886
UNP,2015-10-16,94.629997,94.730003,92.550003,92.940002,4580800,91.09477
GE,2015-10-16,28.610001,29.190001,28.219999,28.98,141526300,28.32183
SO,2015-10-16,46.02,46.25,45.93,46.220001,3477900,44.18332
BA,2015-10-16,137.429993,138.729996,136.520004,137.600006,3143000,133.29959
FDX,2015-10-16,153.020004,154.020004,151.190002,152.479996,1008700,151.57387
OXY,2015-10-16,75.489998,75.50,73.519997,74.230003,5185500,71.93530
MA,2015-10-16,97.370003,97.690002,96.660004,97.639999,3385600,97.0390
GS,2015-10-16,185.119995,186.649994,183.630005,185.179993,2948900,182.99952
ALL,2015-10-16,61.439999,61.509998,60.66,61.200001,3285000,60.29779
ABT,2015-10-16,42.200001,42.27,41.66,42.220001,6141300,41.44519
GM,2015-10-16,33.369999,33.459999,32.880001,33.150002,9332400,31.9909
MET,2015-10-16,48.50,48.880001,48.209999,48.84,4496700,47.185
JNJ,2015-10-16,97.870003,98.309998,97.400002,98.239998,9110800,95.49601
HD,2015-10-16,121.629997,122.82,121.629997,122.739998,4052900,120.9047
MON,2015-10-16,91.019997,91.150002,89.410004,89.970001,4423400,88.43400
MMM,2015-10-16,149.770004,149.779999,147.479996,148.699997,2490300,144.79725
PM,2015-10-16,86.370003,88.040001,85.889999,87.779999,5355500,84.99007
